"sessionCode","title","topic","format","level","Products","SpeakerNames","SpeakerCompanies","Description"
"BRK2375","Continuous Infrastructure - leveraging Terraform with Azure Pipelines","Development","Session","Intermediate (200)","Azure	Integration
Azure
","Joseph Lorich
","Microsoft
","continuous infrastructure - leveraging terraform with azure pipelines"
"WRK2016R1","Teamwork Immersion Workshop by Core BTS.","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by core bts."
"WRK2019R7","Security Immersion Workshop by Synergy Technical","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by synergy technical"
"WRK2023R1","Security Immersion Workshop by Softchoice","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by softchoice"
"WRK2022R8","Security Immersion Workshop by CDW","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by cdw"
"WRK2025R2","Compliance Immersion Workshop by Microsoft","Compliance","Hands-On Learning","Intermediate (200)","Microsoft 365	Advanced Compliance
Microsoft 365
","","","compliance immersion workshop by microsoft"
"WRK2025R4","Compliance Immersion Workshop by Microsoft","Compliance","Hands-On Learning","Intermediate (200)","Microsoft 365	Advanced Compliance
Microsoft 365
","","","compliance immersion workshop by microsoft"
"WRK2024R6","Compliance Immersion Workshop by Valorem","Compliance","Hands-On Learning","Intermediate (200)","Microsoft 365	Advanced Compliance
Microsoft 365
","","","compliance immersion workshop by valorem"
"WRK2024R8","Compliance Immersion Workshop by Valorem","Compliance","Hands-On Learning","Intermediate (200)","Microsoft 365	Advanced Compliance
Microsoft 365
","","","compliance immersion workshop by valorem"
"WRK2023R6","Security Immersion Workshop by Softchoice","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by softchoice"
"WRK2028","Teamwork Immersion Workshop by Catapult","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by catapult"
"WRK2031R1","Teamwork Immersion Workshop by Vitalyst","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by vitalyst"
"THR1137","Microsoft 365 experiences + devices","Devices","Session","Foundational (100)","Microsoft 365	Device and Application Management
Microsoft 365
","Mary Sheppard
","Microsoft
","microsoft 365 experiences + devices"
"THR1137R6","Microsoft 365 experiences + devices (Repeat)","Devices","Session","Foundational (100)","Microsoft 365	Device and Application Management
Microsoft 365
","Sonia Dara
","Microsoft
","microsoft 365 experiences + devices (repeat)"
"THR1137R7","Microsoft 365 experiences + devices (Repeat)","Devices","Session","Foundational (100)","Microsoft 365	Device and Application Management
Microsoft 365
","Marissa Salazar
","Microsoft
","microsoft 365 experiences + devices (repeat)"
"THR2004R","Best practices on training firstline workers to adopt Microsoft Teams (Repeat)","","","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Social and Intranet
Microsoft 365	Task Management
","Vesa Nopanen
","Innofactor
","best practices on training firstline workers to adopt microsoft teams (repeat)"
"MLS1003","Visual Studio Online: Everything you need to know","Development","Interview","Foundational (100)","Power Platform	Power Platform General
Power Platform
","Amanda Silver
Nik Molnar
","Microsoft
Microsoft
","visual studio online: everything you need to know"
"MLS1031","MLOps - how to integrate data science workflows into your CI/CD pipelines","Development","Interview","Foundational (100)","","Jordan Edwards
Seth Juarez
","Microsoft Azure Machine Learning
Microsoft
","mlops - how to integrate data science workflows into your ci/cd pipelines"
"MLS1033","Even more VS Code tips and tricks with Chris Dias","Fundamentals","Interview","Foundational (100)","Not Product Specific
","Chris Dias
John Papa
","Microsoft
Microsoft
","even more vs code tips and tricks with chris dias"
"MLS1059","Next-generation Azure data services","Data","Interview","Foundational (100)","Azure	Azure General
Azure
","Travis Wright
Seth Juarez
","Microsoft
Microsoft
","next-generation azure data services"
"MLS1066","Get started with Azure Stack HCI","Infrastructure","Interview","Foundational (100)","Azure	Azure General
Azure
","Cosmos Darwin
Thomas Maurer
","Microsoft
Microsoft
","get started with azure stack hci"
"BRK3331","Deep dive: Group Policy transformation to MDM with Microsoft Intune","Productivity","Session","Advanced (300)","","Dave Randall
Shiv Patel
","Microsoft
Microsoft
","deep dive: group policy transformation to mdm with microsoft intune"
"THR2379","Why CarMax selected Fortinet on Microsoft Azure for cloud deployments","Security","Partner Led Session","Intermediate (200)","Azure	Developer Tools
Azure
Azure	Databases
Azure	Identity
Azure	Integration
Azure	AI + Machine Learning
Azure	Analytics
Azure	Compute
Azure	Blockchain
Azure	Management and Governance
Azure	Internet of Things
Azure	Containers
Azure	DevOps 
Azure	Microsoft Azure Stack
Azure	Mobile
Azure	Mixed Reality
Azure	Security
Azure	Web
Azure	Migration
Azure	Networking
Azure	Storage
Azure	Media
","Shiva Thatipelli
","CarMax
","why carmax selected fortinet on microsoft azure for cloud deployments"
"THR2381","Leveraging your customer data when choosing a cloud data platform","Data","Partner Led Session","Intermediate (200)","","Jared Cheney
Nigel Sammy
","SoftwareOne
SoftwareONE
","leveraging your customer data when choosing a cloud data platform"
"C13","Visual Studio, Debugging, and the Debug Bar with Leslie Richardson","","","Foundational (100)","Not Product Specific
","Tom Morgan
","Modality Systems
","visual studio, debugging, and the debug bar with leslie richardson"
"C37","Community Spotlight: Microsoft Teams Community Events","","","Foundational (100)","Not Product Specific
","Tom Morgan
","Modality Systems
","community spotlight: microsoft teams community events"
"PRE09","Build your first ‘knowledge mining’ solution in a day using Azure AI services","","","","","Rodrigo Souza
Daniel de Azevedo Coelho
","Microsoft / Cloud & AI
Microsoft
","build your first ‘knowledge mining’ solution in a day using azure ai services"
"PRE11","Get hands-on experience how to build modern IoT applications with Azure IoT","","","","","Benjamin Cabé
Paul DeCarlo
Danilo Diaz
","Azure IoT
Microsoft
Microsoft
","get hands-on experience how to build modern iot applications with azure iot"
"THR2035","I know what you did last project (common mistakes we make in Azure)","","","Intermediate (200)","Azure	Compute
Azure
Azure	Networking
Azure	Databases
Azure	Integration
Azure	Storage
Azure	Migration
Azure	Security
Azure	Containers
","Mustafa Toroman
","Authority Partners
","i know what you did last project (common mistakes we make in azure)"
"BRK3142","Things you never knew about Microsoft Teams that might be important some day","","","Advanced (300)","Microsoft 365	Task Management
Microsoft 365
Microsoft 365	Meetings and Voice
Microsoft 365	Email and Calendar
Microsoft 365	Social and Intranet
Microsoft 365	Files and Content
","Tony Redmond
","Office 365 for IT Pros
","things you never knew about microsoft teams that might be important some day"
"BRK2092","Introduction to AutoML with Azure","","","Intermediate (200)","Azure	Analytics
Azure
Azure	AI + Machine Learning
Azure	DevOps 
","Glenn Morris
","Talisman
","introduction to automl with azure"
"THR3036","Taming Azure resources using cloud governance and tools","","","Advanced (300)","Azure	Management and Governance
Azure
","Alex Mang
","KeyTicket Solutions
","taming azure resources using cloud governance and tools"
"THR2038","Top three tips for beautiful Power Apps","","","Intermediate (200)","Power Platform	PowerApps
Power Platform
","April Dunnam
","ThriveFast
","top three tips for beautiful power apps"
"BRK1036","Everyday governance and etiquette in Microsoft Teams","","","Foundational (100)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","Matthew Wade
","AtBot & jumpto365
","everyday governance and etiquette in microsoft teams"
"THR2042","Patching: Get under the hood","","","Intermediate (200)","Microsoft 365	Operating System 
Microsoft 365
Microsoft 365	Security Management
","Harjit Dhaliwal
","Tech Konnect
","patching: get under the hood"
"BRK1045","Five powerful tips to make the most of your mentor/mentee relationship","Diversity and Inclusion","Diversity and Inclusion","Foundational (100)","Not Product Specific
","Stephanie Donahue
","PAIT Group
","five powerful tips to make the most of your mentor/mentee relationship"
"THR2001","Create business applications with Microsoft Teams and Microsoft Graph","","","Intermediate (200)","Azure	Compute
Azure
Microsoft 365	Email and Calendar
Microsoft 365
Power Platform	Microsoft Flow
Power Platform
Microsoft 365	Files and Content
Microsoft 365	Task Management
Power Platform	PowerApps
Microsoft 365	Applications
","Todd Baginski
","Canviz
","create business applications with microsoft teams and microsoft graph"
"BRK3089","AI innovation: Revitalizing the live presentation experience","Customer Success","Session","Advanced (300)","Microsoft 365	Applications
Microsoft 365
Microsoft 365	Files and Content
Microsoft 365	Meetings and Voice
","Kirk Gregersen
Ian Mikutel
","Microsoft Corporation
Microsoft
","ai innovation: revitalizing the live presentation experience"
"BRK1017","What do I do next?  Managing asks and tasks with Microsoft 365","Productivity","Panel Discussion","Foundational (100)","Microsoft 365	Meetings and Voice
Microsoft 365
Microsoft 365	Email and Calendar
Microsoft 365	Task Management
Microsoft 365	Files and Content
Microsoft 365	Advanced Analytics
","Theo Lorrain-Hale
Mary Sheppard
","Microsoft
Microsoft
","what do i do next?  managing asks and tasks with microsoft 365"
"BRK3248","Securing Exchange Online from modern threats","Security","Session","Advanced (300)","Microsoft 365	Threat Protection
Microsoft 365
Microsoft 365	Identity and Access Management
Microsoft 365	Security Management
Microsoft 365	Information Protection
","Brandon Koeller
","Microsoft
","securing exchange online from modern threats"
"THR2052","Microsoft Flow for SharePoint in twenty minutes","","","Intermediate (200)","Power Platform	Microsoft Flow
Power Platform
","Scott Shearer
","Haystax Technology
","microsoft flow for sharepoint in twenty minutes"
"BRK2100","Zero to hero: SPFx development techniques to boost the performance of SharePoint solutions","","","Intermediate (200)","Microsoft 365	Social and Intranet
Microsoft 365
","David Warner
","Catapult Systems
","zero to hero: spfx development techniques to boost the performance of sharepoint solutions"
"BRK2102","Leverage React in SharePoint Framework solutions","","","Intermediate (200)","Not Product Specific
","Andrew Connell
","Voitanos
","leverage react in sharepoint framework solutions"
"THR3045","Run your own Windows Insider Program with Group Policy and Intune","Productivity","Session","Advanced (300)","Microsoft 365	Operating System 
Microsoft 365
","Jason Howard
Amanda Langowski
","Microsoft
Microsoft
","run your own windows insider program with group policy and intune"
"BRK2103","Building dynamic data pipelines in Azure Data Factory","","","Intermediate (200)","Azure	Databases
Azure
Azure	Analytics
","Cathrine Wilhelmsen
","Inmeta
","building dynamic data pipelines in azure data factory"
"THR3005","Sliding laterally: How attackers move through your network","Security","Session","Advanced (300)","Microsoft 365	Threat Protection
Microsoft 365
","Tali Ash
","Microsoft
","sliding laterally: how attackers move through your network"
"THR3054","Protecting any app – in the cloud and on-premises","Security","Session","Advanced (300)","Microsoft 365	Applications
Microsoft 365
Microsoft 365	Identity and Access Management
Microsoft 365	Information Protection
Microsoft 365	Files and Content
","Anisha Gupta
","Microsoft
","protecting any app – in the cloud and on-premises"
